[I][2022-02-10 +80 15:57:42.997][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:43.098][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:43.199][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:43.300][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:43.401][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:43.502][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:43.603][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:43.703][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:43.803][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:43.904][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:44.004][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:44.104][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:44.206][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:44.306][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:44.406][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:44.506][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:44.606][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:44.708][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:44.807][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:44.907][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:45.007][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:45.108][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:45.209][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:45.310][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:45.410][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:45.510][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:45.611][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:45.711][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:45.811][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:45.913][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:46.012][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:46.112][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:46.214][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:46.315][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:46.415][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:46.515][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:46.615][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:46.716][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:46.817][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:46.918][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:47.018][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:47.118][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:47.219][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:47.319][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:47.420][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:47.520][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:47.620][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:47.721][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:47.821][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:47.922][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:48.022][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:48.122][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:48.222][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:48.322][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:48.423][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:48.523][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:48.624][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:48.724][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:48.825][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:48.925][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:49.025][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:49.126][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:49.226][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:49.326][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:49.427][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:49.529][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:49.629][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:49.730][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:49.830][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:49.930][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:50.031][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:50.131][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:50.232][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:50.332][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:50.433][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:50.533][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:50.634][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
[I][2022-02-10 +80 15:57:50.735][24321, 1*][main][QAD][PosterFocusAdVM][][onNodeEvent:9
