~~~~~ begin of mmap ~~~~~
[I][2022-02-10 +80 21:26:09.565][8076, 22394][NetProberSDK][NetProbe/ApMonitor][][][phoneSignalLevel update:5 > 4|NetType_4g
[I][2022-02-10 +80 21:26:09.566][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.566][8076, 22394][NetProberSDK][NetProbe/ApMonitor][][][phoneSignalLevel update:4 > 5|NetType_4g
[I][2022-02-10 +80 21:26:09.569][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.576][8076, 1*][main][DefaultImConversationListener][][][onSyncServerStart: 
[I][2022-02-10 +80 21:26:09.582][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.582][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.584][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.587][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.587][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.594][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.597][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.600][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.605][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
[I][2022-02-10 +80 21:26:09.609][8076, 22102][cellularStrengthThread][NXNetwork_Transport_TypeAssist][][][getNetworkType() : 4G
